"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","DEP_DELAY_NEW","ARR_DELAY_NEW","DISTANCE"
20,7,"AA","MIA","JFK",17,0,1089
28,1,"OO","CHA","ATL",0,0,106
26,6,"WN","HOU","MDW",14,5,937
8,2,"HA","LAX","HNL",376,370,2556
11,5,"AA","BOS","JFK",0,0,187
16,3,"OO","TUS","DEN",0,0,639
23,3,"DL","MIA","DTW",0,0,1145
12,6,"YX","HSV","DCA",0,0,613
13,7,"OO","DEN","CNY",0,0,283
21,1,"NK","PDX","ORD",51,50,1739
10,4,"F9","DEN","SLC",0,0,391
22,2,"WN","SNA","SJC",0,0,342
14,1,"AA","DFW","TUS",0,0,813
24,4,"DL","ATL","RIC",5,32,481
19,6,"YX","MIA","EYW",8,13,125
14,1,"OO","DTW","CID",0,0,430
30,3,"UA","IAH","MFE",0,0,316
15,2,"UA","SEA","DEN",0,0,1024
16,3,"WN","BNA","MKE",47,45,475
1,2,"WN","BOS","ATL",0,0,946
14,1,"UA","CLE","DEN",8,1,1201
31,4,"OO","ATL","SBN",0,19,566
14,1,"DL","ATL","IND",0,0,432
25,5,"DL","ATL","IAD",0,4,534
18,5,"UA","LAX","SFO",23,100,337
4,5,"WN","SAN","LAS",12,8,258
4,5,"UA","SFO","SNA",0,0,372
23,3,"YX","EYW","EWR",0,0,1196
13,7,"DL","MDW","ATL",0,0,591
15,2,"DL","DTW","LGA",10,8,502
15,2,"MQ","LGA","RDU",NA,NA,431
27,7,"B6","BDL","PBI",0,0,1133
15,2,"YV","ATL","IAH",0,0,689
14,1,"AA","SNA","DFW",0,0,1205
13,7,"DL","SJC","ATL",0,0,2116
19,6,"DL","ATL","LIT",0,0,453
7,1,"AA","MIA","SAN",0,0,2267
2,3,"UA","MIA","IAH",0,0,964
21,1,"DL","SLC","JAC",0,0,205
23,3,"OO","SLC","ORD",0,0,1250
10,4,"OO","CVG","ORD",0,0,264
30,3,"B6","BOS","TPA",0,0,1185
21,1,"AA","PHL","MCO",11,10,861
18,5,"DL","RDU","MSP",0,0,980
28,1,"MQ","SUX","ORD",72,78,436
25,5,"OO","FAT","LAX",0,0,209
7,1,"AA","MIA","PHX",0,0,1972
14,1,"OH","PHL","HVN",1,7,157
20,7,"WN","CMH","DCA",72,60,323
20,7,"EV","IAH","LRD",18,19,301
26,6,"YX","IAH","SLC",0,0,1195
11,5,"WN","SAN","SJC",5,0,417
12,6,"OO","PHX","MRY",0,0,598
20,7,"OH","SDF","DCA",18,3,474
7,1,"EV","IAH","CRP",0,0,201
28,1,"UA","IAH","LAS",0,10,1222
29,2,"UA","RDU","DEN",0,0,1436
6,7,"OO","MLU","ATL",11,0,448
11,5,"9E","DFW","MSP",88,72,852
18,5,"YV","OKC","IAH",0,0,395
28,1,"AS","SEA","LAX",34,27,954
3,4,"DL","TYS","ATL",4,0,152
1,2,"AA","AUS","DFW",0,0,190
30,3,"WN","OAK","PHX",31,23,646
16,3,"YX","PHL","ILM",0,0,413
31,4,"UA","IAH","AUS",0,0,140
3,4,"AA","LAX","HNL",4,11,2556
16,3,"DL","MCI","ATL",0,0,692
30,3,"MQ","ALO","ORD",0,50,234
24,4,"AA","SAN","JFK",0,6,2446
6,7,"UA","IAH","DFW",0,0,224
21,1,"HA","OGG","HNL",4,5,100
21,1,"9E","LGA","GSO",0,0,461
26,6,"OO","PHX","TUS",0,0,110
20,7,"OO","SFO","AUS",23,6,1504
20,7,"DL","RSW","MSP",0,0,1416
1,2,"WN","RDU","BNA",0,0,442
29,2,"HA","LIH","OGG",0,0,201
17,4,"AS","SNA","SEA",0,0,978
30,3,"DL","SEA","ATL",7,2,2182
21,1,"DL","JFK","MIA",0,0,1089
3,4,"WN","DEN","BNA",14,3,1014
20,7,"OH","CVG","PHL",22,10,507
15,2,"AA","LAX","IND",0,0,1814
31,4,"EV","LGA","CLE",0,0,419
13,7,"WN","SEA","SMF",0,0,605
25,5,"G4","BGR","SFB",0,0,1299
22,2,"B6","AUS","LGB",24,17,1226
31,4,"EV","EWR","CMH",0,0,463
28,1,"DL","MSP","PHX",0,0,1276
2,3,"DL","SAN","MSP",11,0,1532
1,2,"OO","IAH","CVG",0,0,871
27,7,"G4","AZA","CID",3,0,1240
29,2,"AA","DCA","BOS",0,0,399
28,1,"AA","PHL","BOS",0,0,280
1,2,"YV","IAD","MCI",0,0,926
27,7,"OO","RDM","SFO",0,0,462
7,1,"WN","SJC","RNO",0,0,188
21,1,"WN","LAX","OAK",0,0,337
9,3,"OH","PHL","MSN",0,0,764
24,4,"OO","CVG","MSP",0,0,596
4,5,"HA","HNL","OGG",0,0,100
8,2,"OH","SAV","CLT",0,0,213
22,2,"YV","AMA","DFW",0,0,312
19,6,"EV","IAH","TUL",0,0,429
14,1,"OH","CLT","AVL",0,0,91
12,6,"G4","FSD","PIE",19,11,1334
1,2,"OH","CLT","RIC",0,1,257
11,5,"AS","DFW","PDX",0,0,1616
17,4,"OO","MSP","HIB",0,0,174
31,4,"WN","BWI","ALB",17,13,289
30,3,"WN","PHX","OAK",29,15,646
12,6,"OO","IND","MSP",0,7,503
30,3,"UA","SFO","HNL",18,11,2398
10,4,"OO","ORD","BWI",0,0,622
12,6,"WN","DEN","MKE",42,21,896
2,3,"UA","TPA","IAH",0,0,787
6,7,"OO","ATW","ORD",0,0,160
20,7,"AA","LAX","DFW",35,29,1235
8,2,"OO","SCE","DTW",0,0,301
9,3,"YV","TLH","DFW",0,0,767
8,2,"AA","LAX","LAS",0,0,236
18,5,"AA","BNA","CLT",0,0,328
3,4,"OO","DTW","PLN",0,0,243
8,2,"B6","SYR","JFK",65,51,209
28,1,"DL","ATL","LGA",13,51,762
6,7,"9E","LGA","MHT",0,0,195
25,5,"AA","IAH","PHL",0,5,1325
3,4,"OH","CLT","ABE",0,0,481
19,6,"OO","ASE","SLC",0,0,292
21,1,"WN","MDW","MSP",90,100,349
25,5,"WN","MHT","TPA",0,0,1204
2,3,"DL","LGA","ATL",0,0,762
30,3,"AA","PHX","ORD",3,0,1440
9,3,"AS","SEA","PHX",0,0,1107
6,7,"DL","LEX","ATL",0,0,304
5,6,"AA","MIA","BOS",0,0,1258
8,2,"UA","MIA","IAH",0,0,964
23,3,"YV","SAV","IAD",0,0,515
9,3,"UA","ORD","DCA",60,119,612
13,7,"DL","MSP","PHX",0,0,1276
16,3,"WN","FLL","SJU",27,20,1046
23,3,"AA","LGA","DFW",0,0,1389
28,1,"OO","ATL","AGS",0,0,143
10,4,"9E","DTW","DSM",0,0,533
30,3,"WN","CLE","PHX",0,0,1737
24,4,"DL","LAS","DTW",0,0,1749
30,3,"AS","SFO","SAN",0,0,447
11,5,"UA","SMF","IAH",0,0,1609
18,5,"MQ","JFK","CVG",42,41,589
6,7,"OO","ORD","MKE",0,0,67
7,1,"AA","PHL","PHX",39,4,2075
12,6,"UA","EWR","LAS",0,0,2227
30,3,"OH","CVG","PHL",0,0,507
8,2,"YV","CVG","IAH",0,0,871
22,2,"YV","CHS","IAD",0,0,441
27,7,"DL","DFW","SLC",0,0,989
19,6,"9E","JFK","PWM",10,13,273
24,4,"WN","ONT","MDW",0,0,1706
16,3,"DL","MSP","SFO",0,0,1589
2,3,"B6","SFO","BOS",14,18,2704
14,1,"OO","ORD","TYS",1,7,475
25,5,"AA","CLT","PHX",0,0,1773
24,4,"DL","LIH","LAX",2,0,2615
4,5,"DL","DAB","ATL",0,0,366
17,4,"OO","SFO","SBP",1,13,190
4,5,"OH","DCA","PWM",69,56,482
27,7,"AA","BDL","PHL",0,0,196
24,4,"WN","BWI","PVD",4,0,327
16,3,"UA","DEN","IAH",131,113,862
25,5,"YV","IAH","MFE",0,0,316
13,7,"G4","MDT","PGD",0,0,963
15,2,"AS","RDU","SEA",7,0,2354
7,1,"OO","DEN","IND",0,0,977
31,4,"DL","DTW","MSP",15,2,528
2,3,"WN","HOU","HRL",5,2,277
22,2,"AA","DFW","MCO",0,0,985
29,2,"WN","ISP","BWI",73,71,220
15,2,"DL","CVG","SFO",0,0,2036
8,2,"B6","EWR","MCO",7,3,937
22,2,"DL","LAS","MSP",0,0,1299
17,4,"AA","ORD","PHX",2,0,1440
5,6,"DL","ATL","LIT",0,0,453
17,4,"OO","MKE","ORD",0,0,67
28,1,"AA","DFW","TUL",0,0,237
15,2,"WN","DCA","HOU",1,0,1218
23,3,"WN","SNA","SJC",36,22,342
19,6,"UA","PHX","EWR",30,22,2133
18,5,"EV","CLE","BOS",28,18,563
8,2,"NK","FLL","PIT",0,0,994
9,3,"9E","TYS","ATL",0,0,152
4,5,"EV","ORD","PNS",0,0,794
1,2,"WN","MCO","PVD",2,0,1072
23,3,"WN","MDW","MCI",22,6,405
22,2,"OH","OMA","CLT",42,24,913
27,7,"DL","KOA","LAX",0,0,2504
31,4,"YX","DCA","JFK",25,34,213
4,5,"DL","AGS","ATL",3,0,143
7,1,"WN","BDL","MCO",0,16,1050
28,1,"UA","DEN","LGA",0,0,1620
19,6,"NK","EWR","MCO",65,56,937
30,3,"DL","SAV","ATL",0,0,214
7,1,"OO","LGA","ORD",0,0,733
27,7,"AA","CLT","PBI",0,0,590
9,3,"DL","ATL","MOB",0,0,302
8,2,"OO","SMF","LAX",0,4,373
25,5,"YV","RNO","PHX",0,2,601
30,3,"OH","CLT","TYS",0,0,177
28,1,"G4","PIE","GSP",65,60,482
30,3,"DL","AUS","ATL",0,0,813
6,7,"WN","MCO","FLL",15,14,177
5,6,"MQ","LEX","DFW",0,0,785
31,4,"AA","CLT","RSW",0,12,600
13,7,"AA","PHL","ORD",63,54,678
15,2,"AA","CLT","DCA",2,3,331
8,2,"AA","ORD","DFW",60,47,802
26,6,"DL","ATL","ORF",9,4,516
1,2,"UA","SEA","ORD",17,13,1721
9,3,"YV","IAH","HRL",0,0,295
28,1,"OH","SYR","CLT",0,0,603
18,5,"9E","PWM","JFK",0,0,273
13,7,"UA","DEN","BUR",0,8,850
4,5,"DL","ORF","ATL",0,0,516
31,4,"AA","PHX","CLT",0,0,1773
1,2,"OO","MLI","ORD",14,12,139
8,2,"UA","IAD","SFO",0,0,2419
9,3,"OO","ORD","PIA",201,213,130
14,1,"DL","DEN","ATL",0,0,1199
5,6,"DL","ICT","ATL",0,0,782
15,2,"AA","STL","CLT",0,0,575
19,6,"NK","ORD","IAH",0,0,925
26,6,"9E","DTW","DSM",0,0,533
1,2,"OO","ORD","CVG",0,0,264
14,1,"OH","DCA","ORF",0,1,142
11,5,"9E","JFK","DCA",0,0,213
17,4,"WN","LAS","SJC",30,20,386
28,1,"DL","SYR","ATL",0,0,794
25,5,"UA","GRR","ORD",0,0,137
3,4,"MQ","LGA","GSO",15,0,461
17,4,"WN","CLE","ATL",0,0,554
8,2,"WN","DTW","MDW",5,0,228
2,3,"AS","SFO","SEA",0,0,679
7,1,"OO","LAX","FAT",0,0,209
14,1,"WN","DEN","STL",21,68,770
15,2,"YV","IAH","STL",0,0,667
1,2,"AA","DFW","JFK",0,0,1391
10,4,"DL","TPA","ATL",45,51,406
7,1,"DL","SJU","JFK",0,0,1598
14,1,"OO","MSP","BIS",0,16,386
22,2,"AA","DFW","LGA",24,51,1389
7,1,"DL","ATL","RSW",3,3,515
2,3,"YX","MCI","ORD",0,0,403
14,1,"DL","VPS","ATL",0,0,250
20,7,"B6","ORD","BOS",14,20,867
11,5,"OO","ORD","PVD",0,0,849
8,2,"DL","SFO","LAX",0,0,337
26,6,"B6","HPN","PBI",49,36,1056
7,1,"OO","DEN","PUB",0,0,109
11,5,"DL","ATL","MSP",5,15,907
4,5,"OO","ORD","LGA",0,5,733
19,6,"YX","JFK","DCA",27,3,213
29,2,"OH","TLH","CLT",0,4,386
28,1,"DL","BDL","ATL",0,0,859
23,3,"AS","SEA","SAN",1,0,1050
19,6,"WN","ELP","PHX",2,0,347
22,2,"NK","DEN","FLL",14,33,1703
11,5,"WN","SMF","SNA",11,7,404
8,2,"DL","RIC","ATL",179,159,481
16,3,"OH","BTV","CLT",3,0,761
20,7,"OO","BOI","SEA",0,0,399
6,7,"UA","ORD","EWR",0,0,719
1,2,"OO","SAN","SJC",0,0,417
18,5,"B6","DCA","BOS",0,0,399
30,3,"B6","ATL","BOS",0,0,946
16,3,"OO","SLC","SUN",0,3,222
24,4,"AA","RSW","PHL",0,0,993
24,4,"OO","MSN","DTW",0,0,311
18,5,"YX","STL","LGA",0,24,888
28,1,"YX","LFT","IAH",0,0,201
26,6,"AA","LAX","MIA",0,26,2342
11,5,"WN","OAK","LAS",13,2,407
30,3,"WN","DEN","BOI",21,15,649
18,5,"AA","PHX","PHL",0,0,2075
8,2,"YV","MCI","IAD",0,0,926
29,2,"WN","SJC","LAX",0,0,308
3,4,"B6","BOS","LGA",0,0,184
24,4,"9E","LGA","ORF",34,24,296
24,4,"DL","ATL","PVD",15,5,903
3,4,"B6","HOU","BOS",0,0,1609
6,7,"AA","PHX","HNL",0,0,2917
12,6,"NK","DTW","MCO",6,0,957
28,1,"OH","MEM","PHL",0,0,875
31,4,"DL","ATL","FLL",0,0,581
24,4,"WN","LAS","BWI",50,36,2106
14,1,"MQ","DFW","LAW",13,13,140
8,2,"AA","MIA","PHL",94,79,1013
27,7,"DL","DTW","BOS",0,1,632
21,1,"AS","FAI","ANC",0,0,261
12,6,"WN","OAK","BWI",0,0,2447
30,3,"AA","PDX","PHX",0,0,1009
5,6,"AS","SEA","BUR",0,0,937
13,7,"WN","SMF","SAN",0,0,480
4,5,"WN","OMA","LAS",4,0,1099
10,4,"AS","JNU","SEA",0,11,909
19,6,"DL","SEA","SFO",104,102,679
13,7,"HA","OGG","KOA",0,0,84
12,6,"YV","BUR","PHX",0,0,369
1,2,"MQ","LAN","ORD",0,0,179
9,3,"DL","ANC","SEA",0,10,1448
7,1,"OH","CLT","AGS",7,7,140
3,4,"WN","ISP","BWI",0,0,220
4,5,"DL","MSP","BDL",0,0,1050
3,4,"WN","IND","LAS",6,2,1590
16,3,"WN","ELP","LAS",3,0,583
5,6,"WN","MCO","BWI",0,0,787
4,5,"OO","RDU","BNA",1,4,442
30,3,"WN","OAK","PHX",12,5,646
24,4,"DL","LGA","ATL",0,0,762
24,4,"UA","SEA","SFO",80,77,679
15,2,"OO","MSP","MSN",40,42,228
12,6,"WN","BUF","MCO",0,0,1011
6,7,"AS","SEA","SJC",0,0,696
2,3,"DL","LGA","BOS",69,49,184
